code	dignität	name	histologie	group
8077/1	1	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8077	01
8077/2	2	Intraepitheliale Neoplasie Grad 3	8077	01
8077/3	3	Intraepitheliale Neoplasie Grad 3, bösartig	8077	01
8077/6	6		8077	01
8077/9	9		8077	01
8078/0	0		8078	01
8078/1	1		8078	01
8078/2	2	Plattenepithelkarzinom mit Hornbildung, in-situ	8078	01
8078/3	3	Plattenepithelkarzinom mit Hornbildung	8078	01
8078/6	6		8078	01
8078/9	9		8078	01
8079/0	0		8079	01
8079/1	1		8079	01
8079/2	2		8079	01
8079/3	3		8079	01
8079/6	6		8079	01
8079/9	9		8079	01
8080/0	0		8080	01
8080/1	1		8080	01
8080/2	2	Erythroplasie Queyrat C60.-	8080	01
8080/3	3		8080	01
8080/6	6		8080	01
8080/9	9		8080	01
8081/0	0		8081	01
8081/1	1		8081	01
8081/2	2	M. Bowen C44.-	8081	01
8081/3	3	M. Bowen, bösartig	8081	01
8081/6	6		8081	01
8081/9	9		8081	01
8082/0	0		8082	01
8082/1	1		8082	01
8082/2	2	Lymphoepitheliales Karzinom, in-situ	8082	01
8082/3	3	Lymphoepitheliales Karzinom	8082	01
8082/6	6		8082	01
8082/9	9		8082	01
8083/0	0		8083	01
8083/1	1		8083	01
8083/2	2	Basaloides Plattenepithelkarzinom, in-situ	8083	01
8083/3	3	Basaloides Plattenepithelkarzinom	8083	01
8083/6	6		8083	01
8083/9	9		8083	01
8084/0	0		8084	01
8084/1	1		8084	01
8084/2	2	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8084	01
8084/3	3	Klarzelliges Plattenepithelkarzinom	8084	01
8084/6	6		8084	01
8084/9	9		8084	01
8085/0	0		8085	01
8085/1	1		8085	01
8085/2	2		8085	01
8085/3	3		8085	01
8085/6	6		8085	01
8085/9	9		8085	01
8086/3	3		8086	01
8086/6	6		8086	01
8090/0	0		8090	02
8090/1	1	Basalzelltumor C44.-	8090	02
8090/2	2	Basalzellkarzinom o.n.A., in-situ	8090	02
8090/3	3	Basalzellkarzinom o.n.A. C44.-	8090	02
8090/6	6		8090	02
8090/9	9		8090	02
8091/0	0		8091	02
8091/1	1		8091	02
8091/2	2		8091	02
8091/3	3	Multifokales oberflächliches Basalzellkarzinom C44.-	8091	02
8091/6	6		8091	02
8091/9	9		8091	02
8092/0	0		8092	02
8092/1	1		8092	02
8092/2	2	Infiltrierendes Basalzellkarzinom o.n.A., in-situ	8092	02
8092/3	3	Infiltrierendes Basalzellkarzinom o.n.A. C44.-	8092	02
8092/6	6		8092	02
8092/9	9		8092	02
8093/0	0		8093	02
8093/1	1		8093	02
8093/2	2	Fibroepitheliales Basalzellkarzinom, in-situ	8093	02
8093/3	3	Fibroepitheliales Basalzellkarzinom C44.-	8093	02
8093/6	6		8093	02
8093/9	9		8093	02
8094/0	0		8094	02
8094/1	1		8094	02
8094/2	2	Basosquamöses Karzinom, in-situ	8094	02
8094/3	3	Basosquamöses Karzinom C44.-	8094	02
8094/6	6		8094	02
8094/9	9		8094	02
8095/0	0		8095	02
8095/1	1		8095	02
8095/2	2	Metatypisches Karzinom, in-situ	8095	02
8095/3	3	Metatypisches Karzinom C44.-	8095	02
8095/6	6		8095	02
8095/9	9		8095	02
8096/0	0	Intraepidermales Epitheliom Typ Borst-Jadassohn C44.-	8096	02
8096/1	1		8096	02
8096/2	2		8096	02
8096/3	3		8096	02
8096/6	6		8096	02
8096/9	9		8096	02
8097/0	0		8097	02
8097/1	1		8097	02
8097/2	2	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8097	02
8097/3	3	Noduläres Basalzellkarzinom C44.-	8097	02
8097/6	6		8097	02
8097/9	9		8097	02
8098/0	0		8098	02
8098/1	1		8098	02
8098/2	2		8098	02
8098/3	3	Adenoides Basalzellkarzinom C53.-	8098	02
8098/6	6		8098	02
8098/9	9		8098	02
8100/0	0	Trichoepitheliom C44.-	8100	02
8100/1	1		8100	02
8100/2	2		8100	02
8100/3	3	Trichoepitheliom, bösartig	8100	02
8100/6	6		8100	02
8100/9	9		8100	02
8101/0	0	Trichofollikulom C44.-	8101	02
8101/1	1		8101	02
8101/2	2		8101	02
8101/3	3	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8101	02
8101/6	6		8101	02
8101/9	9		8101	02
8102/0	0	Tricholemmom C44.-	8102	02
8102/1	1		8102	02
8102/2	2		8102	02
8102/3	3	Tricholemmkarzinom C44.-	8102	02
8102/6	6		8102	02
8102/9	9		8102	02
8103/0	0	Pilartumor C44.-	8103	02
8103/1	1		8103	02
8103/2	2		8103	02
8103/3	3	Pilartumor, bösartig	8103	02
8103/6	6		8103	02
8103/9	9		8103	02
8104/0	0		8104	04
8110/0	0	Pilomatrixom o.n.A. C44.-	8110	02
8110/1	1		8110	02
8110/2	2		8110	02
8110/3	3	Pilomatrix-Karzinom C44.-	8110	02
8110/6	6		8110	02
8110/9	9		8110	02
8120/0	0	Benignes Übergangszellpapillom	8120	01
8120/1	1	Urothelpapillom o.n.A.	8120	01
8120/2	2	Übergangszell-Carcinoma in situ	8120	01
8120/3	3	Übergangszellkarzinom o.n.A.	8120	01
8120/6	6		8120	01
8120/9	9		8120	01
8121/0	0	Schneider-Papillom o.n.A. C30.0C31.-	8121	01
8121/1	1	Invertiertes Übergangszellpapillom o.n.A.	8121	01
8121/2	2	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8121	01
8121/3	3	Schneider-Karzinom C30.0C31.-	8121	01
8121/6	6		8121	01
8121/9	9		8121	01
8122/0	0		8122	01
8122/1	1		8122	01
8122/2	2		8122	01
8122/3	3	Spindelzelliges Übergangszellkarzinom	8122	01
8122/6	6		8122	01
8122/9	9		8122	01
8123/0	0		8123	01
8123/1	1		8123	01
8123/2	2		8123	01
8123/3	3	Basaloidkarzinom	8123	01
8123/6	6		8123	01
8123/9	9		8123	01
8124/0	0		8124	01
8124/1	1		8124	01
8124/2	2	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8124	01
8124/3	3	Kloakogenes Karzinom C21.2	8124	01
8124/6	6		8124	01
8124/9	9		8124	01
8130/0	0		8130	01
8130/1	1	Papilläre Neoplasie der Übergangszellen mit niedrigem Malignitätspotential C67.-	8130	01
8130/2	2	Nichtinvasives papilläres Übergangszellkarzinom C67.-	8130	01
8130/3	3	Papilläres Übergangszellkarzinom C67.-	8130	01
8130/6	6		8130	01
8130/9	9		8130	01
8131/0	0		8131	01
8131/1	1		8131	01
8131/2	2	Mikropapilläres Übergangszellkarzinom, in-situ	8131	01
8131/3	3	Mikropapilläres Übergangszellkarzinom C67.-	8131	01
8131/6	6		8131	01
8131/9	9		8131	01
8140/0	0	Adenom o.n.A.	8140	03
8140/1	1	Atypisches Adenom	8140	03
8140/2	2	Adenocarcinoma in situ o.n.A.	8140	03
8140/3	3	Adenokarzinom o.n.A.	8140	03
8140/6	6	Adenokarzinom-Metastase o.n.A.	8140	03
8140/9	9		8140	03
8141/0	0		8141	03
8141/1	1		8141	03
8141/2	2		8141	03
8141/3	3	Szirrhöses Adenokarzinom	8141	03
8141/6	6		8141	03
8141/9	9		8141	03
8142/0	0		8142	03
8142/1	1		8142	03
8142/2	2	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8142	03
8142/3	3	Linitis plastica C16.-	8142	03
8142/6	6		8142	03
8142/9	9		8142	03
8143/0	0		8143	03
8143/1	1		8143	03
8143/2	2	Oberflächlich spreitendes Adenokarzinom, in-situ	8143	03
8143/3	3	Oberflächlich spreitendes Adenokarzinom	8143	03
8143/6	6		8143	03
8143/9	9		8143	03
8144/0	0		8144	03
8144/1	1		8144	03
8144/2	2	Adenokarzinom von intestinalen Typ, in-situ	8144	03
8144/3	3	Adenokarzinom vom intestinalen Typ C16.-	8144	03
8144/6	6		8144	03
8144/9	9		8144	03
8145/0	0		8145	03
8145/1	1		8145	03
8145/2	2		8145	03
8145/3	3	Diffuses Karzinom C16.-	8145	03
8145/6	6		8145	03
8145/9	9		8145	03
8146/0	0	Monomorphes Adenom	8146	03
8146/1	1		8146	03
8146/2	2		8146	03
8146/3	3	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8146	03
8146/6	6		8146	03
8146/9	9		8146	03
8147/0	0	Basalzelladenom	8147	03
8147/1	1		8147	03
8147/2	2		8147	03
8147/3	3	Basalzell-Adenokarzinom	8147	03
8147/6	6		8147	03
8147/9	9		8147	03
8148/0	0		8148	03
8148/1	1	Glanduläre intraepitheliale Neoplasie Grad 3, unsicherer Charakter	8148	03
8148/2	2	Glanduläre intraepitheliale Neoplasie Grad 3	8148	03
8148/3	3	Glanduläre intraepitheliale Neoplasie Grad 3, bösartig	8148	03
8148/6	6		8148	03
8148/9	9		8148	03
8149/0	0	Intrakanalikuläres Adenom	8149	03
8149/1	1		8149	03
8149/2	2		8149	03
8149/3	3		8149	03
8149/6	6		8149	03
8149/9	9		8149	03
8150/0	0	Inselzelladenom C25.-	8150	04
8150/1	1	Inselzelltumor o.n.A. C25.-	8150	04
8150/2	2		8150	04
8150/3	3	Inselzellkarzinom C25.-	8150	04
8150/6	6		8150	04
8150/9	9		8150	04
8151/0	0	Insulinom o.n.A. C25.-	8151	04
8151/1	1		8151	04
8151/2	2		8151	04
8151/3	3	Malignes Insulinom C25.-	8151	04
8151/6	6		8151	04
8151/9	9		8151	04
8152/0	0		8152	04
8152/1	1	Glukagonom o.n.A. C25.-	8152	04
8152/2	2		8152	04
8152/3	3	Malignes Glukagonom C25.-	8152	04
8152/6	6		8152	04
8152/9	9		8152	04
8153/0	0		8153	04
8153/1	1	Gastrinom o.n.A.	8153	04
8153/2	2		8153	04
8153/3	3	Malignes Gastrinom	8153	04
8153/6	6		8153	04
8153/9	9		8153	04
8154/0	0		8154	04
8154/1	1		8154	04
8154/2	2		8154	04
8154/3	3	Gemischtes Inselzell- und exokrines Adenokarzinom C25.-	8154	04
8154/6	6		8154	04
8154/9	9		8154	04
8155/0	0		8155	04
8155/1	1	Vipom o.n.A.	8155	04
8155/2	2		8155	04
8155/3	3	Malignes Vipom	8155	04
8155/6	6		8155	04
8155/9	9		8155	04
8156/0	0		8156	04
8156/1	1	Somatostatinom o.n.A.	8156	04
8156/2	2		8156	04
8156/3	3	Malignes Somatostatinom	8156	04
8156/6	6		8156	04
8156/9	9		8156	04
8157/0	0		8157	04
8157/1	1	Enteroglukagonom o.n.A.	8157	04
8157/2	2		8157	04
8157/3	3	Malignes Enteroglukagonom	8157	04
8157/6	6		8157	04
8157/9	9		8157	04
8158/0	0		8158	04
8158/1	1		8158	04
8158/2	2		8158	04
8158/3	3		8158	04
8158/6	6		8158	04
8158/9	9		8158	04
8160/0	0	Gallengangsadenom C22.1C24.0	8160	03
8160/1	1		8160	03
8160/2	2		8160	03
8160/3	3	Intrahepatisches Cholangiokarzinom C22.1C24.0	8160	03
8160/6	6		8160	03
8160/9	9		8160	03
8161/0	0	Gallengangs-Zystadenom C22.1C24.0	8161	03
8161/1	1		8161	03
8161/2	2		8161	03
8161/3	3	Gallengangs-Zystadenokarzinom C22.1C24.0	8161	03
8161/6	6		8161	03
8161/9	9		8161	03
8162/0	0		8162	03
8162/1	1	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8162	03
8162/2	2		8162	03
8162/3	3	Klatskin-Tumor C22.1C24.0	8162	03
8162/6	6		8162	03
8162/9	9		8162	03
8163/0	0		8163	04
8163/1	1		8163	04
8163/2	2		8163	04
8163/3	3		8163	04
8163/6	6		8163	04
8163/9	9		8163	04
8170/0	0	Leberzelladenom C22.0	8170	04
8170/1	1		8170	04
8170/2	2		8170	04
8170/3	3	Hepatozelluläres Karzinom o.n.A. C22.0	8170	04
8170/6	6		8170	04
8170/9	9		8170	04
8171/0	0		8171	04
8171/1	1		8171	04
8171/2	2		8171	04
8171/3	3	Fibrolamelläres Leberzellkarzinom C22.0	8171	04
8171/6	6		8171	04
8171/9	9		8171	04
8172/0	0		8172	04
8172/1	1		8172	04
8172/2	2		8172	04
8172/3	3	Szirrhöses hepatozelluläres Karzinom C22.0	8172	04
8172/6	6		8172	04
8172/9	9		8172	04
8173/0	0		8173	04
8173/1	1		8173	04
8173/2	2		8173	04
8173/3	3	Spindelzelliges hepatozelluläres Karzinom C22.0	8173	04
8173/6	6		8173	04
8173/9	9		8173	04
8174/0	0		8174	04
8174/1	1		8174	04
8174/2	2		8174	04
8174/3	3	Klarzelliges hepatozelluläres Karzinom C22.0	8174	04
8174/6	6		8174	04
8174/9	9		8174	04
8175/0	0		8175	04
8175/1	1		8175	04
8175/2	2		8175	04
8175/3	3	Pleomorphes hepatozelluläres Karzinom C22.0	8175	04
8175/6	6		8175	04
8175/9	9		8175	04
8180/0	0		8180	04
8180/1	1		8180	04
8180/2	2		8180	04
8180/3	3	Kombiniertes hepatozelluläres Karzinom und Cholangiokarzinom C22.0	8180	04
8180/6	6		8180	04
8180/9	9		8180	04
8190/0	0	Trabekuläres Adenom	8190	03
8190/1	1		8190	03
8190/2	2		8190	03
8190/3	3	Trabekuläres Adenokarzinom	8190	03
8190/6	6		8190	03
8190/9	9		8190	03
8191/0	0	Embryonales Adenom	8191	03
8191/1	1		8191	03
8191/2	2		8191	03
8191/3	3		8191	03
8191/6	6		8191	03
8191/9	9		8191	03
8200/0	0	Ekkrines dermales Zylindrom C44.-	8200	03
8200/1	1		8200	03
8200/2	2		8200	03
8200/3	3	Adenoid-zystisches Karzinom	8200	03
8200/6	6		8200	03
8200/9	9		8200	03
8201/0	0		8201	03
8201/1	1		8201	03
8201/2	2	Kribriformes Carcinoma in situ C50.-	8201	03
8201/3	3	Kribriformes Karzinom o.n.A.	8201	03
8201/6	6		8201	03
8201/9	9		8201	03
8202/0	0	Mikrozystisches Adenom C25.-	8202	03
8202/1	1		8202	03
8202/2	2		8202	03
8202/3	3		8202	03
8202/6	6		8202	03
8202/9	9		8202	03
8204/0	0	Laktierendes Adenom C50.-	8204	03
8204/1	1		8204	03
8204/2	2		8204	03
8204/3	3		8204	03
8204/6	6		8204	03
8204/9	9		8204	03
8210/0	0	Adenomatöser Polyp o.n.A.	8210	03
8210/1	1		8210	03
8210/2	2	Adenocarcinoma in situ in adenomatösem Polypen	8210	03
8210/3	3	Adenokarzinom in adenomatösem Polypen	8210	03
8210/6	6		8210	03
8210/9	9		8210	03
8211/0	0	Tubuläres Adenom o.n.A.	8211	03
8211/1	1	Tubuläres Adenokarzinom, unsicherer Charakter	8211	03
8211/2	2	Tubuläres Adenokarzinom, in-situ	8211	03
8211/3	3	Tubuläres Adenokarzinom	8211	03
8211/6	6		8211	03
8211/9	9		8211	03
8212/0	0	Flaches Adenom	8212	03
8212/1	1		8212	03
8212/2	2		8212	03
8212/3	3		8212	03
8212/6	6		8212	03
8212/9	9		8212	03
8213/0	0	Serrated adenoma C18.-	8213	03
8213/1	1		8213	03
8213/2	2	Serrated adenoma, in-situ	8213	03
8213/3	3	Serrated adenoma, bösartig	8213	03
8213/6	6		8213	03
8213/9	9		8213	03
8214/0	0		8214	03
8214/1	1		8214	03
8214/2	2		8214	03
8214/3	3	Parietalzellkarzinom C16.-	8214	03
8214/6	6		8214	03
8214/9	9		8214	03
8215/0	0		8215	03
8215/1	1		8215	03
8215/2	2		8215	03
8215/3	3	Adenokarzinom der Analdrüsen C21.1	8215	03
8215/6	6		8215	03
8215/9	9		8215	03
8220/0	0	Familiäre adenomatöse Polypose [FAP] C18.-	8220	03
8220/1	1		8220	03
8220/2	2	Kombination nicht in ICDO3 Katalog enthalten, aber zulässig	8220	03
8220/3	3	Adenokarzinom in familiärer adenomatöser Polypose [FAP] C18.-	8220	03
8220/6	6		8220	03
8220/9	9		8220	03
8221/0	0	Multiple adenomatöse Polypen	8221	03
8221/1	1		8221	03
8221/2	2		8221	03
8221/3	3	Adenokarzinom in multiplen adenomatösen Polypen	8221	03
8221/6	6		8221	03
8221/9	9		8221	03
8230/0	0		8230	04
8230/1	1		8230	04
8230/2	2	Solides duktales Carcinoma in situ C50.-	8230	04
8230/3	3	Solides Karzinom o.n.A.	8230	04
8230/6	6		8230	04
8230/9	9		8230	04
8231/0	0		8231	04
8231/1	1		8231	04
8231/2	2	Carcinoma simplex, in-situ	8231	04
8231/3	3	Carcinoma simplex	8231	04
8231/6	6		8231	04
8231/9	9		8231	04
8240/0	0		8240	04
8240/1	1	Karzinoidtumor fraglicher Dignität	8240	04
8240/2	2	Karzinoidtumor o.n.A. (Exkl. Karzinoid der Appendix), in-situ	8240	04
8240/3	3	Karzinoidtumor o.n.A.   Exkl. Karzinoid der Appendix  8240/1	8240	04
8240/6	6		8240	04
8240/9	9		8240	04
8241/0	0		8241	04
8241/1	1	Enterochromaffinzell-Karzinoid, unsicherer Charakter	8241	04
8241/2	2		8241	04
8241/3	3	Enterochromaffinzell-Karzinoid	8241	04
8241/6	6		8241	04
8241/9	9		8241	04
8242/0	0		8242	04
8242/1	1	Enterochromaffin-like-cell-Karzinoid	8242	04
8242/2	2		8242	04
8242/3	3	Maligner Enterochromaffin-like-cell-Tumor	8242	04
8242/6	6		8242	04
8242/9	9		8242	04
8243/0	0		8243	04
8243/1	1		8243	04
8243/2	2		8243	04
8243/3	3	Becherzellkarzinoid	8243	04
8243/6	6		8243	04
8243/9	9		8243	04
8244/0	0		8244	04
8244/1	1		8244	04
8244/2	2		8244	04
8244/3	3	Kombiniertes Karzinoid	8244	04
8244/6	6		8244	04
8244/9	9		8244	04
8245/0	0		8245	04
8245/1	1	Tubuläres Karzinoid	8245	04
8245/2	2		8245	04
8245/3	3	Adenokarzinoidtumor	8245	04
8245/6	6		8245	04
8245/9	9		8245	04
8246/0	0		8246	04
8246/1	1	Neuroendokrines Karzinom o.n.A., unsicherer Charakter	8246	04
8246/2	2	Neuroendokrines Karzinom o.n.A., in-situ	8246	04
8246/3	3	Neuroendokrines Karzinom o.n.A.	8246	04
8246/6	6		8246	04
8246/9	9		8246	04
8247/0	0		8247	04
8247/1	1		8247	04
8247/2	2		8247	04
8247/3	3	Merkel-Zell-Karzinom C44.-	8247	04
8247/6	6		8247	04
8247/9	9		8247	04
8248/0	0		8248	04
8248/1	1	Apudom	8248	04
8248/2	2		8248	04
8248/3	3		8248	04
8248/6	6		8248	04
8248/9	9		8248	04
8249/0	0		8249	04
8249/1	1		8249	04
8249/2	2		8249	04
8249/3	3	Atypischer Karzinoidtumor	8249	04
8249/6	6		8249	04
8249/9	9		8249	04
8250/0	0		8250	04
8250/1	1	Lungenadenomatose C34.-	8250	04
8250/2	2	Bronchiolo-alveoläres Adenokarzinom o.n.A., in-situ	8250	04
8250/3	3	Bronchiolo-alveoläres Adenokarzinom o.n.A. C34.-	8250	04
8250/6	6		8250	04
8250/9	9		8250	04
8251/0	0	Alveoläres Adenom C34.-	8251	04
