id	code	id3	chapter	name
A390	A39.0	A30	1	Meningokokkenmeningitis
A391	A39.1	A30	1	Waterhouse-Friderichsen-Syndrom
A392	A39.2	A30	1	Akute Meningokokkensepsis
A393	A39.3	A30	1	Chronische Meningokokkensepsis
A394	A39.4	A30	1	Meningokokkensepsis, nicht näher bezeichnet
A395	A39.5	A30	1	Herzkrankheit durch Meningokokken
A398	A39.8	A30	1	Sonstige Meningokokkeninfektionen
A399	A39.9	A30	1	Meningokokkeninfektion, nicht näher bezeichnet
A40	A40	A30	1	Streptokokkensepsis
A400	A40.0	A30	1	Sepsis durch Streptokokken, Gruppe A
A401	A40.1	A30	1	Sepsis durch Streptokokken, Gruppe B
A402	A40.2	A30	1	Sepsis durch Streptokokken, Gruppe D, und Enterokokken
A403	A40.3	A30	1	Sepsis durch Streptococcus pneumoniae
A408	A40.8	A30	1	Sonstige Sepsis durch Streptokokken
A409	A40.9	A30	1	Sepsis durch Streptokokken, nicht näher bezeichnet
A41	A41	A30	1	Sonstige Sepsis
A410	A41.0	A30	1	Sepsis durch Staphylococcus aureus
A411	A41.1	A30	1	Sepsis durch sonstige näher bezeichnete Staphylokokken
A412	A41.2	A30	1	Sepsis durch nicht näher bezeichnete Staphylokokken
A413	A41.3	A30	1	Sepsis durch Haemophilus influenzae
A414	A41.4	A30	1	Sepsis durch Anaerobier
A415	A41.5	A30	1	Sepsis durch sonstige gramnegative Erreger
A4151	A41.51	A30	1	Escherichia coli [E. coli]
A4152	A41.52	A30	1	Pseudomonas
A4158	A41.58	A30	1	Sonstige gramnegative Erreger
A418	A41.8	A30	1	Sonstige näher bezeichnete Sepsis
A419	A41.9	A30	1	Sepsis, nicht näher bezeichnet
A42	A42	A30	1	Aktinomykose
A420	A42.0	A30	1	Aktinomykose der Lunge
A421	A42.1	A30	1	Abdominale Aktinomykose
A422	A42.2	A30	1	Zervikofaziale Aktinomykose
A427	A42.7	A30	1	Aktinomykotische Sepsis
A428	A42.8	A30	1	Sonstige Formen der Aktinomykose
A429	A42.9	A30	1	Aktinomykose, nicht näher bezeichnet
A43	A43	A30	1	Nokardiose
A430	A43.0	A30	1	Pulmonale Nokardiose
A431	A43.1	A30	1	Nokardiose der Haut
A438	A43.8	A30	1	Sonstige Formen der Nokardiose
A439	A43.9	A30	1	Nokardiose, nicht näher bezeichnet
A44	A44	A30	1	Bartonellose
A440	A44.0	A30	1	Systemische Bartonellose
A441	A44.1	A30	1	Kutane und mukokutane Bartonellose
A448	A44.8	A30	1	Sonstige Formen der Bartonellose
A449	A44.9	A30	1	Bartonellose, nicht näher bezeichnet
A46	A46	A30	1	Erysipel [Wundrose]
A48	A48	A30	1	Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert
A480	A48.0	A30	1	Gasbrand [Gasödem]
A481	A48.1	A30	1	Legionellose mit Pneumonie
A482	A48.2	A30	1	Legionellose ohne Pneumonie [Pontiac-Fieber]
A483	A48.3	A30	1	Syndrom des toxischen Schocks
A484	A48.4	A30	1	Brazilian purpuric fever
A488	A48.8	A30	1	Sonstige näher bezeichnete bakterielle Krankheiten
A49	A49	A30	1	Bakterielle Infektion nicht näher bezeichneter Lokalisation
A490	A49.0	A30	1	Staphylokokkeninfektion nicht näher bezeichneter Lokalisation
A491	A49.1	A30	1	Streptokokken- und Enterokokkeninfektion nicht näher bezeichneter Lokalisation
A492	A49.2	A30	1	Infektion durch Haemophilus influenzae nicht näher bezeichneter Lokalisation
A493	A49.3	A30	1	Mykoplasmeninfektion nicht näher bezeichneter Lokalisation
A498	A49.8	A30	1	Sonstige bakterielle Infektionen nicht näher bezeichneter Lokalisation
A499	A49.9	A30	1	Bakterielle Infektion, nicht näher bezeichnet
A50	A50	A50	1	Syphilis connata
A500	A50.0	A50	1	Floride konnatale Frühsyphilis
A501	A50.1	A50	1	Latente konnatale Frühsyphilis
A502	A50.2	A50	1	Konnatale Frühsyphilis, nicht näher bezeichnet
A503	A50.3	A50	1	Konnatale spätsyphilitische Augenkrankheit
A504	A50.4	A50	1	Konnatale spätauftretende Neurosyphilis [Juvenile Neurosyphilis]
A505	A50.5	A50	1	Sonstige Formen der floriden konnatalen Spätsyphilis
A506	A50.6	A50	1	Latente konnatale Spätsyphilis
A507	A50.7	A50	1	Konnatale Spätsyphilis, nicht näher bezeichnet
A509	A50.9	A50	1	Syphilis connata, nicht näher bezeichnet
A51	A51	A50	1	Frühsyphilis
A510	A51.0	A50	1	Primärer syphilitischer Genitalaffekt
A511	A51.1	A50	1	Analer Primäraffekt bei Syphilis
A512	A51.2	A50	1	Primäraffekt bei Syphilis, sonstige Lokalisationen
A513	A51.3	A50	1	Sekundäre Syphilis der Haut und der Schleimhäute
A514	A51.4	A50	1	Sonstige sekundäre Syphilis
A515	A51.5	A50	1	Latente Frühsyphilis
A519	A51.9	A50	1	Frühsyphilis, nicht näher bezeichnet
A52	A52	A50	1	Spätsyphilis
A520	A52.0	A50	1	Kardiovaskuläre Syphilis
A521	A52.1	A50	1	Floride Neurosyphilis
A522	A52.2	A50	1	Asymptomatische Neurosyphilis
A523	A52.3	A50	1	Neurosyphilis, nicht näher bezeichnet
A527	A52.7	A50	1	Sonstige floride Spätsyphilis
A528	A52.8	A50	1	Latente Spätsyphilis
A529	A52.9	A50	1	Spätsyphilis, nicht näher bezeichnet
A53	A53	A50	1	Sonstige und nicht näher bezeichnete Syphilis
A530	A53.0	A50	1	Latente Syphilis, nicht als früh oder spät bezeichnet
A539	A53.9	A50	1	Syphilis, nicht näher bezeichnet
A54	A54	A50	1	Gonokokkeninfektion
A540	A54.0	A50	1	Gonokokkeninfektion des unteren Urogenitaltraktes ohne periurethralen Abszess oder Abszess der Glandulae urethrales
A541	A54.1	A50	1	Gonokokkeninfektion des unteren Urogenitaltraktes mit periurethralem Abszess oder Abszess der Glandulae urethrales
A542	A54.2	A50	1	Pelviperitonitis durch Gonokokken und Gonokokkeninfektionen sonstiger Urogenitalorgane
A543	A54.3	A50	1	Gonokokkeninfektion des Auges
A544	A54.4	A50	1	Gonokokkeninfektion des Muskel-Skelett-Systems
A545	A54.5	A50	1	Gonokokkenpharyngitis
A546	A54.6	A50	1	Gonokokkeninfektion des Anus und des Rektums
A548	A54.8	A50	1	Sonstige Gonokokkeninfektionen
A549	A54.9	A50	1	Gonokokkeninfektion, nicht näher bezeichnet
A55	A55	A50	1	Lymphogranuloma inguinale (venereum) durch Chlamydien
A56	A56	A50	1	Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten
A560	A56.0	A50	1	Chlamydieninfektion des unteren Urogenitaltraktes
A561	A56.1	A50	1	Chlamydieninfektion des Pelviperitoneums und sonstiger Urogenitalorgane
A562	A56.2	A50	1	Chlamydieninfektion des Urogenitaltraktes, nicht näher bezeichnet
A563	A56.3	A50	1	Chlamydieninfektion des Anus und des Rektums
A564	A56.4	A50	1	Chlamydieninfektion des Pharynx
A568	A56.8	A50	1	Durch Geschlechtsverkehr übertragene Chlamydieninfektion an sonstigen Lokalisationen
A57	A57	A50	1	Ulcus molle (venereum)
A58	A58	A50	1	Granuloma venereum (inguinale)
A59	A59	A50	1	Trichomoniasis
A590	A59.0	A50	1	Trichomoniasis urogenitalis
A598	A59.8	A50	1	Sonstige Lokalisationen der Trichomoniasis
A599	A59.9	A50	1	Trichomoniasis, nicht näher bezeichnet
A60	A60	A50	1	Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex]
A600	A60.0	A50	1	Infektion der Genitalorgane und des Urogenitaltraktes durch Herpesviren
A601	A60.1	A50	1	Infektion der Perianalhaut und des Rektums durch Herpesviren
A609	A60.9	A50	1	Infektion des Anogenitalbereiches durch Herpesviren, nicht näher bezeichnet
A63	A63	A50	1	Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert
A630	A63.0	A50	1	Anogenitale (venerische) Warzen
A638	A63.8	A50	1	Sonstige näher bezeichnete, vorwiegend durch Geschlechtsverkehr übertragene Krankheiten
A64	A64	A50	1	Durch Geschlechtsverkehr übertragene Krankheiten, nicht näher bezeichnet
A65	A65	A65	1	Nichtvenerische Syphilis
A66	A66	A65	1	Frambösie
A660	A66.0	A65	1	Primärläsion bei Frambösie
A661	A66.1	A65	1	Multiple Papillome und Krabbenframbösie
A662	A66.2	A65	1	Sonstige Hautläsionen im Frühstadium der Frambösie
A663	A66.3	A65	1	Hyperkeratose bei Frambösie
A664	A66.4	A65	1	Gummata und Ulzera bei Frambösie
A665	A66.5	A65	1	Gangosa
A666	A66.6	A65	1	Knochen- und Gelenkveränderungen bei Frambösie
A667	A66.7	A65	1	Sonstige Manifestationen bei Frambösie
A668	A66.8	A65	1	Latente Frambösie
A669	A66.9	A65	1	Frambösie, nicht näher bezeichnet
A67	A67	A65	1	Pinta [Carate]
A670	A67.0	A65	1	Primärläsion bei Pinta
A671	A67.1	A65	1	Zwischenstadium der Pinta
A672	A67.2	A65	1	Spätstadium der Pinta
A673	A67.3	A65	1	Mischformen der Pinta
A679	A67.9	A65	1	Pinta, nicht näher bezeichnet
A68	A68	A65	1	Rückfallfieber
A680	A68.0	A65	1	Durch Läuse übertragenes Rückfallfieber
A681	A68.1	A65	1	Durch Zecken übertragenes Rückfallfieber
A689	A68.9	A65	1	Rückfallfieber, nicht näher bezeichnet
A69	A69	A65	1	Sonstige Spirochäteninfektionen
A690	A69.0	A65	1	Nekrotisierend-ulzeröse Stomatitis
A691	A69.1	A65	1	Sonstige Fusospirochätosen
A692	A69.2	A65	1	Lyme-Krankheit
A698	A69.8	A65	1	Sonstige näher bezeichnete Spirochäteninfektionen
A699	A69.9	A65	1	Spirochäteninfektion, nicht näher bezeichnet
A70	A70	A70	1	Infektionen durch Chlamydia psittaci
A71	A71	A70	1	Trachom
A710	A71.0	A70	1	Initialstadium des Trachoms
A711	A71.1	A70	1	Aktives Stadium des Trachoms
A719	A71.9	A70	1	Trachom, nicht näher bezeichnet
A74	A74	A70	1	Sonstige Krankheiten durch Chlamydien
A740	A74.0	A70	1	Chlamydienkonjunktivitis
A748	A74.8	A70	1	Sonstige Chlamydienkrankheiten
A749	A74.9	A70	1	Chlamydieninfektion, nicht näher bezeichnet
A75	A75	A75	1	Fleckfieber
A750	A75.0	A75	1	Epidemisches Fleckfieber durch Rickettsia prowazeki
A751	A75.1	A75	1	Fleckfieber-Spätrezidiv [Brill-Krankheit]
A752	A75.2	A75	1	Fleckfieber durch Rickettsia typhi [Rickettsia mooseri]
A753	A75.3	A75	1	Fleckfieber durch Rickettsia tsutsugamushi [Rickettsia orientalis]
A759	A75.9	A75	1	Fleckfieber, nicht näher bezeichnet
A77	A77	A75	1	Zeckenbissfieber [Rickettsiosen, durch Zecken übertragen]
A770	A77.0	A75	1	Zeckenbissfieber durch Rickettsia rickettsii
A771	A77.1	A75	1	Zeckenbissfieber durch Rickettsia conori
A772	A77.2	A75	1	Zeckenbissfieber durch Rickettsia sibirica
A773	A77.3	A75	1	Zeckenbissfieber durch Rickettsia australis
A778	A77.8	A75	1	Sonstige Zeckenbissfieber
A779	A77.9	A75	1	Zeckenbissfieber, nicht näher bezeichnet
A78	A78	A75	1	Q-Fieber
A79	A79	A75	1	Sonstige Rickettsiosen
A790	A79.0	A75	1	Wolhynisches Fieber
A791	A79.1	A75	1	Rickettsienpocken durch Rickettsia akari
A798	A79.8	A75	1	Sonstige näher bezeichnete Rickettsiosen
A799	A79.9	A75	1	Rickettsiose, nicht näher bezeichnet
A80	A80	A80	1	Akute Poliomyelitis [Spinale Kinderlähmung]
A800	A80.0	A80	1	Akute paralytische Poliomyelitis durch Impfvirus
A801	A80.1	A80	1	Akute paralytische Poliomyelitis durch importiertes Wildvirus
A802	A80.2	A80	1	Akute paralytische Poliomyelitis durch einheimisches Wildvirus
A803	A80.3	A80	1	Sonstige und nicht näher bezeichnete akute paralytische Poliomyelitis
A804	A80.4	A80	1	Akute nichtparalytische Poliomyelitis
A809	A80.9	A80	1	Akute Poliomyelitis, nicht näher bezeichnet
A81	A81	A80	1	Atypische Virusinfektionen des Zentralnervensystems
A810	A81.0	A80	1	Creutzfeldt-Jakob-Krankheit
A811	A81.1	A80	1	Subakute sklerosierende Panenzephalitis
A812	A81.2	A80	1	Progressive multifokale Leukenzephalopathie
A818	A81.8	A80	1	Sonstige atypische Virusinfektionen des Zentralnervensystems
A819	A81.9	A80	1	Atypische Virusinfektion des Zentralnervensystems, nicht näher bezeichnet
A82	A82	A80	1	Tollwut [Rabies]
A820	A82.0	A80	1	Wildtier-Tollwut
A821	A82.1	A80	1	Haustier-Tollwut
A829	A82.9	A80	1	Tollwut, nicht näher bezeichnet
A83	A83	A80	1	Virusenzephalitis, durch Moskitos [Stechmücken] übertragen
A830	A83.0	A80	1	Japanische Enzephalitis
A831	A83.1	A80	1	Westliche Pferdeenzephalitis [Western-Equine-Encephalitis]
A832	A83.2	A80	1	Östliche Pferdeenzephalitis [Eastern-Equine-Encephalitis]
A833	A83.3	A80	1	St.-Louis-Enzephalitis
A834	A83.4	A80	1	Australische Enzephalitis
A835	A83.5	A80	1	Kalifornische Enzephalitis
A836	A83.6	A80	1	Rocio-Virusenzephalitis
A838	A83.8	A80	1	Sonstige Virusenzephalitis, durch Moskitos übertragen
A839	A83.9	A80	1	Virusenzephalitis, durch Moskitos übertragen, nicht näher bezeichnet
A84	A84	A80	1	Virusenzephalitis, durch Zecken übertragen
A840	A84.0	A80	1	Fernöstliche Enzephalitis, durch Zecken übertragen [Russische Frühsommer-Enzephalitis]
A841	A84.1	A80	1	Mitteleuropäische Enzephalitis, durch Zecken übertragen
